blob 50 ->	 a=    106	 p=   80.18 (    0.00 extern)	 pconvex=   48.48	 ext=0	 c=4.85	 l=   37.26
blob 51 ->	 a=     96	 p=   78.77 (    0.00 extern)	 pconvex=   47.22	 ext=0	 c=5.14	 l=   36.77
blob 52 ->	 a=    106	 p=   80.43 (    0.00 extern)	 pconvex=   48.02	 ext=0	 c=4.86	 l=   37.38
blob 53 ->	 a=    101	 p=   79.60 (    0.00 extern)	 pconvex=   47.59	 ext=0	 c=4.99	 l=   37.07
blob 54 ->	 a=     98	 p=   78.53 (    0.00 extern)	 pconvex=   47.09	 ext=0	 c=5.03	 l=   36.60
blob 55 ->	 a=     98	 p=   77.36 (    0.00 extern)	 pconvex=   46.68	 ext=0	 c=4.88	 l=   35.97
blob 56 ->	 a=     98	 p=   79.36 (    0.00 extern)	 pconvex=   47.27	 ext=0	 c=5.09	 l=   37.02
blob 57 ->	 a=     98	 p=   78.77 (    0.00 extern)	 pconvex=   47.44	 ext=0	 c=5.04	 l=   36.72
blob 58 ->	 a=    101	 p=   78.77 (    0.00 extern)	 pconvex=   47.48	 ext=0	 c=4.89	 l=   36.63
blob 59 ->	 a=     95	 p=   79.60 (    0.00 extern)	 pconvex=   47.07	 ext=0	 c=5.31	 l=   37.25
blob 60 ->	 a=    102	 p=   78.77 (    0.00 extern)	 pconvex=   47.66	 ext=0	 c=4.84	 l=   36.60
blob 61 ->	 a=     96	 p=   78.77 (    0.00 extern)	 pconvex=   47.44	 ext=0	 c=5.14	 l=   36.77
blob 62 ->	 a=     98	 p=   78.18 (    0.00 extern)	 pconvex=   47.09	 ext=0	 c=4.94	 l=   36.38
blob 63 ->	 a=    100	 p=   78.53 (    0.00 extern)	 pconvex=   47.32	 ext=0	 c=4.93	 l=   36.54
blob 64 ->	 a=    116	 p=   80.18 (    0.00 extern)	 pconvex=   49.02	 ext=0	 c=4.39	 l=   36.94
blob 65 ->	 a=    114	 p=   79.01 (    0.00 extern)	 pconvex=   48.73	 ext=0	 c=4.38	 l=   36.39
blob 66 ->	 a=    114	 p=   78.43 (    0.00 extern)	 pconvex=   48.27	 ext=0	 c=4.29	 l=   36.05
blob 67 ->	 a=    180	 p=   50.63 (    0.00 extern)	 pconvex=   49.05	 ext=0	 c=1.13	 l=   14.22
blob 68 ->	 a=    119	 p=   79.60 (    0.00 extern)	 pconvex=   49.02	 ext=0	 c=4.24	 l=   36.54
blob 69 ->	 a=    106	 p=   79.01 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=4.66	 l=   36.60
blob 70 ->	 a=    104	 p=   79.60 (    0.00 extern)	 pconvex=   47.91	 ext=0	 c=4.85	 l=   36.99
blob 71 ->	 a=    108	 p=   80.18 (    0.00 extern)	 pconvex=   48.14	 ext=0	 c=4.72	 l=   37.17
blob 72 ->	 a=    116	 p=   79.01 (    0.00 extern)	 pconvex=   48.78	 ext=0	 c=4.26	 l=   36.30
blob 73 ->	 a=    112	 p=   78.77 (    0.00 extern)	 pconvex=   48.32	 ext=0	 c=4.41	 l=   36.30
blob 74 ->	 a=    113	 p=   78.77 (    0.00 extern)	 pconvex=   48.14	 ext=0	 c=4.37	 l=   36.27
blob 75 ->	 a=    114	 p=   80.18 (    0.00 extern)	 pconvex=   48.64	 ext=0	 c=4.51	 l=   37.03
blob 76 ->	 a=    116	 p=   79.36 (    0.00 extern)	 pconvex=   48.77	 ext=0	 c=4.34	 l=   36.51
blob 77 ->	 a=    111	 p=   79.60 (    0.00 extern)	 pconvex=   48.49	 ext=0	 c=4.54	 l=   36.78
blob 78 ->	 a=    112	 p=   79.36 (    0.00 extern)	 pconvex=   48.33	 ext=0	 c=4.49	 l=   36.63
blob 79 ->	 a=    109	 p=   79.60 (    0.00 extern)	 pconvex=   48.14	 ext=0	 c=4.63	 l=   36.84
blob 80 ->	 a=    109	 p=   78.77 (    0.00 extern)	 pconvex=   48.10	 ext=0	 c=4.53	 l=   36.39
blob 81 ->	 a=    111	 p=   78.77 (    0.00 extern)	 pconvex=   47.89	 ext=0	 c=4.45	 l=   36.33
blob 82 ->	 a=    120	 p=   78.77 (    0.00 extern)	 pconvex=   49.08	 ext=0	 c=4.11	 l=   36.06
blob 83 ->	 a=    122	 p=   77.94 (    0.00 extern)	 pconvex=   48.91	 ext=0	 c=3.96	 l=   35.54
blob 84 ->	 a=    124	 p=   77.94 (    0.00 extern)	 pconvex=   49.09	 ext=0	 c=3.90	 l=   35.48
blob 85 ->	 a=    118	 p=   77.60 (    0.00 extern)	 pconvex=   48.49	 ext=0	 c=4.06	 l=   35.47
blob 86 ->	 a=    119	 p=   77.60 (    0.00 extern)	 pconvex=   48.39	 ext=0	 c=4.03	 l=   35.44
blob 87 ->	 a=    112	 p=   77.36 (    0.00 extern)	 pconvex=   47.56	 ext=0	 c=4.27	 l=   35.54
blob 88 ->	 a=    106	 p=   79.84 (    0.00 extern)	 pconvex=   47.84	 ext=0	 c=4.76	 l=   37.05
blob 89 ->	 a=    114	 p=   79.01 (    0.00 extern)	 pconvex=   48.32	 ext=0	 c=4.38	 l=   36.39
blob 90 ->	 a=    111	 p=   78.77 (    0.00 extern)	 pconvex=   48.07	 ext=0	 c=4.45	 l=   36.33
blob 91 ->	 a=    110	 p=   79.60 (    0.00 extern)	 pconvex=   48.18	 ext=0	 c=4.58	 l=   36.81
blob 92 ->	 a=    111	 p=   77.60 (    0.00 extern)	 pconvex=   47.89	 ext=0	 c=4.32	 l=   35.69
blob 93 ->	 a=    110	 p=   77.36 (    0.00 extern)	 pconvex=   47.67	 ext=0	 c=4.35	 l=   35.60
blob 94 ->	 a=    104	 p=   78.77 (    0.00 extern)	 pconvex=   47.67	 ext=0	 c=4.75	 l=   36.54
blob 95 ->	 a=    102	 p=   79.01 (    0.00 extern)	 pconvex=   47.59	 ext=0	 c=4.89	 l=   36.74
blob 96 ->	 a=     98	 p=   77.36 (    0.00 extern)	 pconvex=   46.72	 ext=0	 c=4.83	 l=   35.94
blob 97 ->	 a=    106	 p=   76.77 (    0.00 extern)	 pconvex=   47.26	 ext=0	 c=4.42	 l=   35.39
blob 98 ->	 a=    106	 p=   78.18 (    0.00 extern)	 pconvex=   47.62	 ext=0	 c=4.57	 l=   36.15
blob 99 ->	 a=    108	 p=   78.18 (    0.00 extern)	 pconvex=   47.91	 ext=0	 c=4.48	 l=   36.09
blob 100 ->	 a=    121	 p=   79.60 (    0.00 extern)	 pconvex=   49.34	 ext=0	 c=4.17	 l=   36.48
blob 101 ->	 a=    130	 p=   78.18 (    0.00 extern)	 pconvex=   49.56	 ext=0	 c=3.76	 l=   35.44
blob 102 ->	 a=    134	 p=   78.18 (    0.00 extern)	 pconvex=   50.23	 ext=0	 c=3.62	 l=   35.28
blob 103 ->	 a=    128	 p=   78.77 (    0.00 extern)	 pconvex=   49.74	 ext=0	 c=3.86	 l=   35.81
blob 104 ->	 a=    125	 p=   77.94 (    0.00 extern)	 pconvex=   49.26	 ext=0	 c=3.87	 l=   35.44
blob 105 ->	 a=    118	 p=   77.36 (    0.00 extern)	 pconvex=   48.50	 ext=0	 c=4.05	 l=   35.35
blob 106 ->	 a=    114	 p=   79.36 (    0.00 extern)	 pconvex=   48.32	 ext=0	 c=4.42	 l=   36.57
blob 107 ->	 a=    122	 p=   77.36 (    0.00 extern)	 pconvex=   48.50	 ext=0	 c=3.92	 l=   35.23
blob 108 ->	 a=    114	 p=   78.18 (    0.00 extern)	 pconvex=   48.23	 ext=0	 c=4.25	 l=   35.90
blob 109 ->	 a=    113	 p=   77.94 (    0.00 extern)	 pconvex=   48.15	 ext=0	 c=4.28	 l=   35.82
